Timestamp,Value
1438168478,586
1438179814,1323
1438217301,679
1438220605,615
1438221414,588
1438223525,688
1438224851,434
1438225141,678
1438225249,707
1438225838,656
1438226007,665
1438226331,602
1438228796,588
1438228938,623
1438229969,346
1438230697,674
1438231764,668
1438232206,693
1438233409,790
1438234700,703
1438241542,472
1438243718,698
1438245750,710
1438245906,180
1438246194,1374
1438246877,373
1438248708,487
1438248801,690
1438249068,476
1438252049,550
1438304531,676
1438308083,304
1438308317,432
1438310001,690
1438312092,434
1438312136,673
1438313436,308
1438315047,687
1438315547,736
1438316886,677
1438317112,189
1438317306,546
1438318143,264
1438320060,624
1438320258,142
1438321818,1748
1438322052,685
1438328928,286
1438331199,826
1438331479,713
1438332025,859
1438333500,636
1438336716,39
1438344650,287
1438357048,187
1438378142,2214
1438396672,687
1438401219,469
1438406876,769
1438491013,374
1438507302,288
1438563336,671
1438565156,582
1438568734,684
1438569925,681
1438570665,721
1438570933,382
1438573025,609
1438574962,648
1438576714,499
1438577275,663
1438577698,697
1438578848,508
1438579750,580
1438581872,739
1438583877,459
1438584986,141
1438588871,512
1438589300,505
1438589465,104
1438589962,716
1438590508,552
1438591244,641
1438591516,182
1438592619,608
1438592653,349
1438593493,747
1438594231,173
1438595271,317
1438597088,716
1438598737,694
1438599027,599
1438599033,1381
1438602862,301
1438606230,139
1438649970,670
1438650167,420
1438652427,688
1438653409,455
1438653875,605
1438657457,705
1438657671,679
1438658023,669
1438658174,641
1438658563,286
1438659110,678
1438659462,539
1438660237,656
1438660272,683
1438661979,379
1438663291,1645
1438663615,657
1438664229,650
1438665188,700
1438665591,714
1438667016,703
1438669693,564
1438673509,383
1438676876,703
1438677741,103
1438678792,698
1438678832,823
1438679215,343
1438679461,440
1438679483,564
1438680236,184
1438681132,756
1438684672,684
1438685318,674
1438686042,473
1438690243,697
1438736328,677
1438737147,557
1438739264,679
1438739997,269
1438742687,549
1438743948,687
1438744498,671
1438744748,420
1438744901,635
1438744994,693
1438747635,1947
1438747725,340
1438747959,447
1438748300,369
1438748496,598
1438749696,557
1438750366,679
